x1,y1,z1,x2,y2,z2
-343.731,93.122,-1977.553,-351.052,121.939,-1968.051
-344.025,92.846,-1977.287,-351.361,121.653,-1967.668
-344.359,92.559,-1976.992,-351.728,121.338,-1967.313
-344.72,92.244,-1976.594,-352.117,121.014,-1966.993
-345.146,91.916,-1976.298,-352.565,120.664,-1966.593
-345.594,91.545,-1975.935,-353.03,120.269,-1966.099
-346.004,91.152,-1975.541,-353.501,119.868,-1965.751
-346.432,90.761,-1975.123,-353.967,119.446,-1965.363
-346.892,90.359,-1974.748,-354.462,119.037,-1964.914
-347.389,89.954,-1974.329,-354.983,118.604,-1964.411
-347.863,89.54,-1973.924,-355.497,118.155,-1963.97
-348.307,89.119,-1973.52,-355.977,117.708,-1963.515
-348.728,88.698,-1973.185,-356.41,117.254,-1962.991
-349.146,88.278,-1972.719,-356.882,116.822,-1962.616
-349.579,87.866,-1972.272,-357.334,116.394,-1962.095
-350.027,87.451,-1971.825,-357.819,115.964,-1961.653
-350.453,87.044,-1971.459,-358.265,115.52,-1961.237
-350.869,86.623,-1971.05,-358.731,115.094,-1960.824
-351.299,86.213,-1970.665,-359.193,114.664,-1960.396
-351.776,85.796,-1970.257,-359.718,114.23,-1960.005
-352.243,85.357,-1969.826,-360.206,113.789,-1959.546
-352.757,84.917,-1969.421,-360.772,113.301,-1959.109
-353.254,84.457,-1969.033,-361.325,112.818,-1958.711
-353.772,83.997,-1968.693,-361.858,112.326,-1958.196
-354.314,83.513,-1968.233,-362.464,111.821,-1957.836
-354.872,83.017,-1967.84,-363.052,111.294,-1957.317
-355.414,82.513,-1967.375,-363.655,110.768,-1956.902
-355.918,82.03,-1966.984,-364.212,110.263,-1956.48
-356.399,81.556,-1966.513,-364.709,109.76,-1955.912
-356.89,81.103,-1966.139,-365.25,109.277,-1955.516
-357.36,80.643,-1965.637,-365.745,108.791,-1954.966
-357.812,80.193,-1965.192,-366.228,108.329,-1954.504
-358.258,79.733,-1964.728,-366.723,107.837,-1953.994
-358.704,79.276,-1964.266,-367.2,107.366,-1953.485
-359.116,78.822,-1963.733,-367.665,106.892,-1953.023
-359.548,78.373,-1963.317,-368.092,106.409,-1952.491
-359.949,77.905,-1962.791,-368.526,105.909,-1951.892
-360.376,77.426,-1962.335,-368.982,105.398,-1951.417
-360.82,76.918,-1961.787,-369.451,104.854,-1950.723
-361.324,76.415,-1961.321,-370.026,104.315,-1950.255
-361.823,75.883,-1960.748,-370.569,103.749,-1949.605
-362.338,75.36,-1960.171,-371.127,103.199,-1948.992
-362.813,74.831,-1959.569,-371.653,102.651,-1948.402
-363.295,74.325,-1959.005,-372.155,102.101,-1947.735
-363.778,73.821,-1958.488,-372.713,101.562,-1947.208
-364.258,73.325,-1958.0,-373.212,101.037,-1946.602
-364.706,72.84,-1957.463,-373.692,100.531,-1946.021
