Tx,Ty,Tz,Tx,Ty,Tz
-370.122,55.185,-1920.112,-378.463,85.425,-1920.464
-370.303,54.947,-1919.914,-378.657,85.182,-1920.262
-370.524,54.683,-1919.671,-378.889,84.919,-1919.955
-370.758,54.411,-1919.488,-379.148,84.635,-1919.749
-371.046,54.094,-1919.32,-379.443,84.313,-1919.511
-371.378,53.735,-1919.105,-379.782,83.955,-1919.23
-371.749,53.356,-1918.86,-380.193,83.566,-1918.99
-372.149,52.928,-1918.633,-380.614,83.132,-1918.747
-372.597,52.458,-1918.415,-381.117,82.647,-1918.506
-373.021,51.957,-1918.173,-381.586,82.141,-1918.213
-373.489,51.435,-1917.914,-382.102,81.605,-1917.937
-373.95,50.899,-1917.614,-382.616,81.058,-1917.655
-374.409,50.362,-1917.333,-383.134,80.506,-1917.369
-374.86,49.82,-1917.047,-383.621,79.953,-1917.05
-375.31,49.271,-1916.781,-384.105,79.401,-1916.691
-375.758,48.719,-1916.474,-384.605,78.836,-1916.392
-376.226,48.175,-1916.168,-385.121,78.275,-1916.076
-376.655,47.654,-1915.849,-385.618,77.746,-1915.751
-377.069,47.128,-1915.521,-386.059,77.202,-1915.327
-377.422,46.599,-1915.134,-386.49,76.654,-1914.972
-377.762,46.091,-1914.733,-386.857,76.132,-1914.533
-378.087,45.597,-1914.397,-387.203,75.622,-1914.109
-378.378,45.111,-1913.95,-387.546,75.119,-1913.636
-378.634,44.652,-1913.58,-387.808,74.659,-1913.206
-378.847,44.206,-1913.147,-388.041,74.206,-1912.694
-379.072,43.762,-1912.732,-388.299,73.734,-1912.268
-379.335,43.291,-1912.285,-388.582,73.253,-1911.764
-379.625,42.833,-1911.914,-388.895,72.787,-1911.271
-379.924,42.36,-1911.466,-389.223,72.306,-1910.787
-380.243,41.88,-1911.099,-389.588,71.815,-1910.389
-380.57,41.362,-1910.699,-389.94,71.282,-1909.969
-380.904,40.828,-1910.327,-390.336,70.731,-1909.523
-381.247,40.294,-1909.954,-390.723,70.185,-1909.175
-381.562,39.774,-1909.556,-391.058,69.649,-1908.728
-381.869,39.266,-1909.212,-391.411,69.137,-1908.343
-382.133,38.794,-1908.882,-391.696,68.652,-1907.963
-382.351,38.369,-1908.503,-391.94,68.23,-1907.634
-382.572,37.967,-1908.244,-392.162,67.825,-1907.313
-382.778,37.599,-1907.892,-392.388,67.452,-1906.968
-383,37.247,-1907.682,-392.593,67.098,-1906.609
-383.241,36.86,-1907.381,-392.856,66.711,-1906.328
-383.515,36.446,-1907.146,-393.139,66.296,-1906.093
-383.822,36.005,-1906.878,-393.461,65.851,-1905.753
-384.19,35.539,-1906.637,-393.866,65.373,-1905.539
-384.594,35.027,-1906.383,-394.316,64.843,-1905.264
-385.005,34.5,-1906.182,-394.779,64.308,-1905.04
-385.403,33.964,-1905.915,-395.213,63.759,-1904.775
-385.858,33.423,-1905.808,-395.681,63.199,-1904.552
-386.302,32.881,-1905.572,-396.166,62.65,-1904.348
-386.772,32.359,-1905.501,-396.647,62.104,-1904.12
-387.19,31.846,-1905.258,-397.121,61.579,-1903.896
-387.559,31.382,-1905.096,-397.532,61.09,-1903.697
-387.877,30.972,-1904.926,-397.882,60.672,-1903.492
-388.15,30.637,-1904.817,-398.159,60.33,-1903.32
-388.388,30.379,-1904.706,-398.4,60.067,-1903.186
-388.593,30.17,-1904.62,-398.605,59.857,-1903.081
-388.753,29.994,-1904.528,-398.772,59.681,-1902.982
-388.913,29.831,-1904.478,-398.936,59.517,-1902.908
-389.086,29.66,-1904.439,-399.117,59.336,-1902.806
-389.296,29.482,-1904.417,-399.335,59.142,-1902.751
-389.523,29.268,-1904.327,-399.595,58.928,-1902.719
-389.773,29.042,-1904.309,-399.85,58.698,-1902.674
-390.028,28.792,-1904.244,-400.119,58.443,-1902.617
-390.314,28.507,-1904.245,-400.427,58.147,-1902.553
-390.617,28.201,-1904.162,-400.788,57.831,-1902.581
-390.963,27.872,-1904.162,-401.152,57.496,-1902.545
-391.316,27.537,-1904.138,-401.529,57.152,-1902.478
-391.651,27.189,-1904.102,-401.903,56.806,-1902.547
-392.023,26.845,-1904.093,-402.262,56.458,-1902.458
-392.419,26.514,-1904.168,-402.682,56.116,-1902.489
-392.81,26.197,-1904.165,-403.095,55.801,-1902.536
-393.215,25.889,-1904.289,-403.496,55.483,-1902.57
-393.595,25.583,-1904.361,-403.883,55.175,-1902.629
-393.944,25.262,-1904.405,-404.266,54.844,-1902.686
-394.331,24.924,-1904.447,-404.686,54.507,-1902.745
-394.736,24.576,-1904.521,-405.12,54.141,-1902.767
-395.136,24.203,-1904.511,-405.557,53.758,-1902.772
-395.531,23.8,-1904.451,-405.998,53.357,-1902.769
-395.941,23.379,-1904.477,-406.422,52.92,-1902.691
-396.342,22.946,-1904.392,-406.848,52.47,-1902.615
-396.753,22.508,-1904.348,-407.295,52.013,-1902.549
-397.146,22.048,-1904.195,-407.722,51.554,-1902.373
-397.543,21.598,-1904.1,-408.126,51.09,-1902.221
-397.905,21.146,-1903.976,-408.546,50.619,-1902.16
-398.267,20.695,-1903.814,-408.937,50.145,-1901.914
-398.612,20.259,-1903.692,-409.325,49.697,-1901.825
-398.93,19.823,-1903.508,-409.649,49.252,-1901.567
-399.256,19.402,-1903.371,-410.014,48.816,-1901.445
-399.553,18.971,-1903.182,-410.342,48.366,-1901.2
-399.843,18.562,-1903.035,-410.66,47.938,-1901.005
-400.126,18.163,-1902.87,-410.955,47.534,-1900.763
-400.382,17.79,-1902.686,-411.244,47.147,-1900.611
-400.63,17.438,-1902.522,-411.52,46.781,-1900.417
-400.874,17.092,-1902.36,-411.766,46.428,-1900.166
-401.129,16.756,-1902.224,-412.053,46.085,-1900.048
-401.412,16.395,-1902.073,-412.364,45.719,-1899.883
-401.732,16.008,-1901.934,-412.697,45.314,-1899.657
-402.081,15.587,-1901.747,-413.079,44.884,-1899.47
-402.451,15.144,-1901.556,-413.489,44.426,-1899.272
-402.878,14.676,-1901.458,-413.951,43.939,-1899.15
-403.316,14.151,-1901.29,-414.422,43.407,-1898.932
-403.792,13.597,-1901.115,-414.95,42.836,-1898.79
-404.265,13.003,-1900.948,-415.464,42.223,-1898.568
-404.697,12.395,-1900.759,-415.952,41.593,-1898.367
-405.055,11.796,-1900.511,-416.365,40.981,-1898.139
-405.346,11.2,-1900.186,-416.691,40.376,-1897.801
-405.593,10.66,-1899.888,-416.998,39.809,-1897.534
-405.743,10.154,-1899.526,-417.155,39.299,-1897.061
-405.804,9.661,-1899.055,-417.25,38.787,-1896.571
-405.823,9.186,-1898.513,-417.297,38.297,-1895.994
-405.812,8.717,-1897.906,-417.295,37.815,-1895.306
-405.823,8.236,-1897.29,-417.311,37.329,-1894.611
-405.826,7.728,-1896.536,-417.329,36.803,-1893.748
-405.857,7.202,-1895.835,-417.381,36.244,-1892.981
-405.906,6.626,-1895.151,-417.432,35.657,-1892.171
-405.943,6.012,-1894.39,-417.506,35.029,-1891.39
-406.04,5.378,-1893.738,-417.617,34.375,-1890.611
-406.186,4.703,-1893.069,-417.811,33.684,-1889.974
-406.406,3.974,-1892.38,-418.063,32.946,-1889.246
-406.687,3.186,-1891.772,-418.4,32.136,-1888.656
-407.039,2.356,-1891.293,-418.814,31.269,-1888.088
-407.433,1.48,-1890.732,-419.273,30.371,-1887.542
-407.944,0.584,-1890.263,-419.832,29.446,-1887.016
-408.505,-0.324,-1889.871,-420.438,28.506,-1886.506
-409.073,-1.263,-1889.468,-421.074,27.544,-1886.109
-409.616,-2.19,-1889.161,-421.669,26.584,-1885.707
-410.116,-3.096,-1888.84,-422.221,25.646,-1885.349
-410.616,-3.971,-1888.525,-422.767,24.735,-1884.995
-411.089,-4.818,-1888.195,-423.267,23.869,-1884.523
-411.537,-5.613,-1887.871,-423.749,23.045,-1884.138
-411.881,-6.345,-1887.506,-424.156,22.293,-1883.799
-412.167,-6.998,-1887.225,-424.498,21.614,-1883.485
-412.406,-7.549,-1886.921,-424.753,21.046,-1883.13
-412.58,-8.031,-1886.521,-424.983,20.561,-1882.866
-412.774,-8.448,-1886.257,-425.181,20.124,-1882.506
